resnet18 train,resnet18 test
79.8499061913696,72.10756722951845
84.86554096310194,69.98123827392119
85.8036272670419,79.98749218261413
86.82926829268293,78.17385866166354
87.04190118824265,70.1688555347092
88.66791744840525,71.7948717948718
88.73045653533458,80.1125703564728
88.75547217010632,74.48405253283302
88.91807379612257,79.04940587867418
89.29330831769856,74.60913070669169
89.96873045653534,81.11319574734209
90.31894934333958,69.48092557848655
90.48155096935585,83.92745465916197
90.81926203877423,76.86053783614759
90.9818636647905,71.66979362101313
91.14446529080675,65.79111944965604
91.65728580362726,43.964978111319574
91.40712945590994,82.36397748592871
91.91994996873045,74.79674796747967
92.50781738586616,76.86053783614759
92.6078799249531,83.55222013758599
92.22013758599125,89.49343339587243
92.89555972482802,59.2245153220763
92.93308317698562,88.93058161350844
92.6454033771107,73.4208880550344
93.43339587242026,58.661663539712315
93.4959349593496,32.58286429018136
93.28330206378986,72.23264540337712
93.70856785490932,35.14696685428393
93.70856785490932,85.11569731081926
94.38398999374608,86.86679174484053
94.48405253283302,71.73233270794246
94.79674796747967,77.4859287054409
95.09693558474046,80.17510944340212
94.75922451532207,77.92370231394622
95.0844277673546,42.151344590368986
95.52220137585992,76.11006879299562
95.83489681050656,71.48217636022514
95.68480300187618,85.92870544090057
96.24765478424015,34.39649781113196
95.87242026266416,84.42776735459663
96.57285803627266,68.48030018761726
96.02251407129457,78.17385866166354
95.9349593495935,76.61038148843026
96.89806128830519,79.67479674796748
96.66041275797373,89.55597248280175
96.49781113195748,48.592870544090054
97.19824890556598,49.96873045653533
97.06066291432145,80.48780487804879
97.17323327079424,66.16635397123201
