resnet50 train,resnet50 test
76.82301438399,80.73796122576611
82.50156347717324,84.36522826766729
83.90243902439025,78.73671044402751
84.39024390243902,69.04315196998124
84.80300187617262,45.0281425891182
85.09068167604752,78.67417135709819
85.328330206379,74.17135709818636
85.01563477173232,74.35897435897436
86.59161976235147,76.98561601000625
86.8792995622264,74.73420888055034
87.44215134459037,87.55472170106316
88.05503439649782,73.6085053158224
88.44277673545966,67.54221388367729
88.59287054409005,84.74046278924328
88.84302689180737,72.23264540337712
89.09318323952469,68.04252657911195
89.1307066916823,80.80050031269543
89.1682301438399,49.530956848030016
87.49218261413382,76.42276422764228
89.24327704815511,75.79737335834896
89.66854283927455,61.60100062539087
89.73108192620388,53.033145716072546
90.0562851782364,76.23514696685429
90.5315822388993,82.42651657285803
90.08130081300813,88.74296435272045
90.10631644777986,85.8036272670419
89.7936210131332,74.73420888055034
90.33145716072545,82.30143839899937
91.33208255159475,80.36272670419012
91.59474671669794,85.67854909318325
